zone,valid_pt,t2m_c,ssrd_wm2,wind100,Date
NP15,2026/8/15 4:00,17.40415955,97.12444305,0.624105752,2026/8/15
SP15,2026/8/15 4:00,22.50963402,81.77777863,1.067186832,2026/8/15
ZP26,2026/8/15 4:00,18.25654602,79.29629517,0.809675097,2026/8/15
NP15,2026/8/15 3:00,17.89886475,194.2488861,0.728119671,2026/8/15
SP15,2026/8/15 3:00,22.86957741,163.5555573,1.198684454,2026/8/15
ZP26,2026/8/15 3:00,18.72244263,158.5925903,0.897672832,2026/8/15
NP15,2026/8/15 2:00,18.39356995,291.3733215,0.832133651,2026/8/15
SP15,2026/8/15 2:00,23.22952271,245.3333282,1.330182076,2026/8/15
ZP26,2026/8/15 2:00,19.18833923,237.8888855,0.985670567,2026/8/15
NP15,2026/8/15 1:00,18.88827515,388.4977722,0.936147571,2026/8/15
SP15,2026/8/15 1:00,23.589468,327.1111145,1.461679816,2026/8/15
ZP26,2026/8/15 1:00,19.65423584,317.1851807,1.073668361,2026/8/15
NP15,2026/8/15 0:00,19.38298035,485.6221924,1.04016149,2026/8/15
SP15,2026/8/15 0:00,23.94941139,408.8888855,1.593177438,2026/8/15
ZP26,2026/8/15 0:00,20.12013245,396.4814758,1.161666036,2026/8/15
